Words	Freq_raw_that	Freq_raw_to	Freq_exp_that	Freq_exp_to	Preference	delta.p.constr1.cues.word	delta.p.word.cues.constr1	Coll_strength
unclear	3	1	1.926	2.074	Adj_that	0.005	0.27	0.546
unusual	3	1	1.926	2.074	Adj_that	0.005	0.27	0.546
understandable	4	2	2.888	3.112	Adj_that	0.005	0.186	0.51
imperative	5	3	3.851	4.149	Adj_that	0.005	0.145	0.491
possible	13	12	12.035	12.965	Adj_that	0.004	0.04	0.372
impossible	8	7	7.221	7.779	Adj_that	0.003	0.053	0.355
questionable	4	3	3.37	3.63	Adj_that	0.003	0.091	0.338
significant	4	3	3.37	3.63	Adj_that	0.003	0.091	0.338
common	3	2	2.407	2.593	Adj_that	0.003	0.119	0.332
illogical	3	2	2.407	2.593	Adj_that	0.003	0.119	0.332
improbable	3	2	2.407	2.593	Adj_that	0.003	0.119	0.332
ridiculous	3	2	2.407	2.593	Adj_that	0.003	0.119	0.332
accurate	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
disappointing	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
fascinating	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
incorrect	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
natural	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
odd	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
perfect	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
sure	2	1	1.444	1.556	Adj_that	0.002	0.186	0.326
aesthetic	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
affordable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
alarming	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
alright	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
auspicious	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
beautiful	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
brilliant	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
definite	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
demonstrable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
desirable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
different	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
direct	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
disheartening	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
doubtful	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
efficient	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
explicit	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
faithful	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
feasible	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
frightening	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
functional	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
further	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
happy	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
humorous	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
implicit	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
inaccurate	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
inconceivable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
incontrovertible	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
indirect	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
intriguing	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
justifiable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
loyal	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
magnificent	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
mind-blowing	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
mostly	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
notable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
obligatory	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
out-of-control	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
outrageous	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
plain	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
poor	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
precise	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
proper	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
regrettable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
serendipitous	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
shocking	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
sloppy	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
solid	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
straightforward	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
superstitious	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
suspicious	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
terrifying	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
tricky	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
uncontestable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
understood	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
unimpressive	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
uninteresting	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
unpalatable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
unpredictable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
unquestionable	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
unrealistic	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
unsurprising	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
untrue	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
unwelcome	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
well-understood	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
worrying	1	0	0.481	0.519	Adj_that	0.002	0.519	0.317
critical	3	3	2.888	3.112	Adj_that	0	0.019	0.207
unfair	3	3	2.888	3.112	Adj_that	0	0.019	0.207
useful	3	3	2.888	3.112	Adj_that	0	0.019	0.207
great	2	2	1.926	2.074	Adj_that	0	0.019	0.181
key	2	2	1.926	2.074	Adj_that	0	0.019	0.181
nice	2	2	1.926	2.074	Adj_that	0	0.019	0.181
promising	2	2	1.926	2.074	Adj_that	0	0.019	0.181
sufficient	2	2	1.926	2.074	Adj_that	0	0.019	0.181
amazing	1	1	0.963	1.037	Adj_that	0	0.019	0.136
counterintuitive	1	1	0.963	1.037	Adj_that	0	0.019	0.136
crazy	1	1	0.963	1.037	Adj_that	0	0.019	0.136
detrimental	1	1	0.963	1.037	Adj_that	0	0.019	0.136
excellent	1	1	0.963	1.037	Adj_that	0	0.019	0.136
general	1	1	0.963	1.037	Adj_that	0	0.019	0.136
ideal	1	1	0.963	1.037	Adj_that	0	0.019	0.136
implausible	1	1	0.963	1.037	Adj_that	0	0.019	0.136
inappropriate	1	1	0.963	1.037	Adj_that	0	0.019	0.136
lovely	1	1	0.963	1.037	Adj_that	0	0.019	0.136
mad	1	1	0.963	1.037	Adj_that	0	0.019	0.136
pertinent	1	1	0.963	1.037	Adj_that	0	0.019	0.136
positive	1	1	0.963	1.037	Adj_that	0	0.019	0.136
preferable	1	1	0.963	1.037	Adj_that	0	0.019	0.136
prevalent	1	1	0.963	1.037	Adj_that	0	0.019	0.136
suitable	1	1	0.963	1.037	Adj_that	0	0.019	0.136
undeniable	1	1	0.963	1.037	Adj_that	0	0.019	0.136
unhelpful	1	1	0.963	1.037	Adj_that	0	0.019	0.136
unreliable	1	1	0.963	1.037	Adj_that	0	0.019	0.136
valuable	1	1	0.963	1.037	Adj_that	0	0.019	0.136
difficult	2	13	7.221	7.779	Adj_to	-0.023	-0.354	2.279
easy	3	13	7.702	8.298	Adj_to	-0.021	-0.299	1.829
crucial	4	12	7.702	8.298	Adj_to	-0.016	-0.236	1.292
hard	2	8	4.814	5.186	Adj_to	-0.012	-0.285	1.168
essential	4	10	6.74	7.26	Adj_to	-0.012	-0.199	0.947
relevant	1	5	2.888	3.112	Adj_to	-0.008	-0.317	0.896
important	21	32	25.514	27.486	Adj_to	-0.02	-0.09	0.894
fun	0	3	1.444	1.556	Adj_to	-0.006	-0.483	0.857
irrelevant	0	3	1.444	1.556	Adj_to	-0.006	-0.483	0.857
premature	0	3	1.444	1.556	Adj_to	-0.006	-0.483	0.857
risky	0	3	1.444	1.556	Adj_to	-0.006	-0.483	0.857
simple	0	3	1.444	1.556	Adj_to	-0.006	-0.483	0.857
valid	0	3	1.444	1.556	Adj_to	-0.006	-0.483	0.857
acceptable	2	6	3.851	4.149	Adj_to	-0.008	-0.233	0.772
unacceptable	1	4	2.407	2.593	Adj_to	-0.006	-0.283	0.676
unnecessary	1	4	2.407	2.593	Adj_to	-0.006	-0.283	0.676
agreeable	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
cruel	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
dangerous	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
early	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
inevitable	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
meaningful	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
plausible	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
prone	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
rash	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
rational	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
similar	0	2	0.963	1.037	Adj_to	-0.004	-0.482	0.571
necessary	12	17	13.961	15.039	Adj_to	-0.009	-0.07	0.535
fair	1	3	1.926	2.074	Adj_to	-0.004	-0.232	0.468
practical	1	3	1.926	2.074	Adj_to	-0.004	-0.232	0.468
problematic	1	3	1.926	2.074	Adj_to	-0.004	-0.232	0.468
silly	1	3	1.926	2.074	Adj_to	-0.004	-0.232	0.468
wise	1	3	1.926	2.074	Adj_to	-0.004	-0.232	0.468
logical	6	9	7.221	7.779	Adj_to	-0.005	-0.083	0.449
reasonable	6	9	7.221	7.779	Adj_to	-0.005	-0.083	0.449
helpful	2	4	2.888	3.112	Adj_to	-0.004	-0.149	0.422
wrong	2	4	2.888	3.112	Adj_to	-0.004	-0.149	0.422
good	9	12	10.109	10.891	Adj_to	-0.005	-0.054	0.403
able	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
abnormal	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
absurd	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
actionable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
adequate	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
adjacent	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
advisable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
aggressive	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
amenable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
annoying	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
bold	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
careless	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
clever	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
constant	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
contrary	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
controversial	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
deniable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
elementary	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
eligible	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
entertaining	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
ethical	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
familiar	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
favorable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
foreboding	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
futile	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
generous	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
greedy	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
impractical	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
inadequate	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
inadvisable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
inconsequential	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
inferior	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
innate	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
insufficient	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
invalid	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
irrational	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
irresponsible	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
kind	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
legitimate	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
lively	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
managable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
mean	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
naive	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
objective	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
overall	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
perfunctory	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
petty	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
ponderous	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
presumptory	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
redundant	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
repetitive	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
responsible	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
scientific	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
sensible	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
slow	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
specific	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
specious	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
spurious	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
standard	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
stressful	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
stupid	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
subjective	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
suggestive	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
superb	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
superior	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
thoughtful	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
typical	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
unable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
uncommon	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
unconventional	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
underwhelmingly	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
undesirable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
unethical	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
unfathomable	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
unfitting	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
unimportant	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
unkind	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
unwise	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
usual	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
well-known	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
worthwhile	0	1	0.481	0.519	Adj_to	-0.002	-0.482	0.285
appropriate	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
challenging	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
complicated	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
exciting	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
fundamental	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
funny	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
normal	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
optimistic	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
relative	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
reliable	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
trivial	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
unreasonable	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
weird	1	2	1.444	1.556	Adj_to	-0.002	-0.149	0.277
prudent	3	4	3.37	3.63	Adj_to	-0.002	-0.053	0.267
right	3	4	3.37	3.63	Adj_to	-0.002	-0.053	0.267
vital	3	4	3.37	3.63	Adj_to	-0.002	-0.053	0.267
bad	4	5	4.333	4.667	Adj_to	-0.001	-0.037	0.263
